date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:33	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2018%20Mar%202023%2009:50:33%20GMT	http://validthemes.live/themeforest/avedi/creative-agency-dark.html	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/creative-agency-dark.0.delayed	(from )
15:20:34	50597/50597	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2000:39:54%20GMT	https://validthemes.live/themeforest/avedi/creative-agency-dark.html	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/creative-agency-dark.html	(from )
15:20:36	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Mar%202023%2009:50:35%20GMT	https://validthemes.live/robots.txt		(from )
15:20:36	1784/1784	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Jun%202021%2000:15:16%20GMT	https://validthemes.live/themeforest/avedi/assets/img/favicon.png	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/assets/img/favicon.png	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:38	159515/159515	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Apr%202020%2007:36:50%20GMT	https://validthemes.live/themeforest/avedi/assets/css/bootstrap.min.css	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/assets/css/bootstrap.min.css	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:38	45633/45633	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/avedi/assets/css/font-awesome.min.css	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/assets/css/font-awesome.min.css	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:39	16450/16450	---M-Z	200	added ('OK')	text/css	date:Fri,%2009%20Feb%202018%2002:07:34%20GMT	https://validthemes.live/themeforest/avedi/assets/css/themify-icons.css	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/assets/css/themify-icons.css	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:40	3234/3234	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Mar%202021%2005:12:22%20GMT	https://validthemes.live/themeforest/avedi/assets/css/flaticon-set.css	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/assets/css/flaticon-set.css	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:41	26593/26593	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Feb%202021%2003:11:52%20GMT	https://validthemes.live/themeforest/avedi/assets/css/elegant-icons.css	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/assets/css/elegant-icons.css	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:42	6951/6951	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/avedi/assets/css/magnific-popup.css	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/assets/css/magnific-popup.css	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:43	2936/2936	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/avedi/assets/css/owl.carousel.min.css	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/assets/css/owl.carousel.min.css	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:44	936/936	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/avedi/assets/css/owl.theme.default.min.css	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/assets/css/owl.theme.default.min.css	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:45	69727/69727	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/avedi/assets/css/animate.css	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/assets/css/animate.css	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:46	70712/70712	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Sep%202021%2000:22:46%20GMT	https://validthemes.live/themeforest/avedi/assets/css/bootsnav.css	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/assets/css/bootsnav.css	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:48	190682/190682	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Sep%202021%2000:18:38%20GMT	https://validthemes.live/themeforest/avedi/style.css	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/style.css	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:48	38009/38009	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Sep%202021%2000:22:32%20GMT	https://validthemes.live/themeforest/avedi/assets/css/responsive.css	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/assets/css/responsive.css	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:49	12670/12670	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Feb%202022%2000:02:00%20GMT	https://validthemes.live/themeforest/avedi/index.html	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/index.html	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:50	3540/3540	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Jun%202021%2000:12:28%20GMT	https://validthemes.live/themeforest/avedi/assets/img/logo-light.png	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/assets/img/logo-light.png	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:51	3982/3982	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Jun%202021%2000:11:12%20GMT	https://validthemes.live/themeforest/avedi/assets/img/logo.png	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/assets/img/logo.png	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:52	48927/48927	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Sep%202021%2014:51:05%20GMT	https://validthemes.live/themeforest/avedi/index-startup.html	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/index-startup.html	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:53	58259/58259	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2000:31:20%20GMT	https://validthemes.live/themeforest/avedi/index-marketing-agency.html	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/index-marketing-agency.html	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:54	58271/58271	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2000:32:02%20GMT	https://validthemes.live/themeforest/avedi/marketing-agency-dark.html	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/marketing-agency-dark.html	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:55	52610/52610	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2000:31:04%20GMT	https://validthemes.live/themeforest/avedi/index-digital-agency.html	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/index-digital-agency.html	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:56	52761/52761	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2000:40:28%20GMT	https://validthemes.live/themeforest/avedi/digital-agency-dark.html	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/digital-agency-dark.html	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:57	50463/50463	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2000:31:00%20GMT	https://validthemes.live/themeforest/avedi/index-1.html	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/index-1.html	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:20:59	29279/29279	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2000:28:36%20GMT	https://validthemes.live/themeforest/avedi/about-us.html	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/about-us.html	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
15:21:00	23204/23204	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Sep%202021%2000:32:04%20GMT	https://validthemes.live/themeforest/avedi/pricing-table.html	/Users/rahilpaul/websites/Avedi/validthemes.live/themeforest/avedi/pricing-table.html	(from https://validthemes.live/themeforest/avedi/creative-agency-dark.html)
